path,accident,severity,use_for_training
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\30.csv,FLB,30.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\31.csv,FLB,31.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\32.csv,FLB,32.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\33.csv,FLB,33.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\34.csv,FLB,34.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\35.csv,FLB,35.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\36.csv,FLB,36.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\37.csv,FLB,37.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\38.csv,FLB,38.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\39.csv,FLB,39.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\40.csv,FLB,40.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\41.csv,FLB,41.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\42.csv,FLB,42.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\43.csv,FLB,43.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\44.csv,FLB,44.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\45.csv,FLB,45.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\46.csv,FLB,46.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\47.csv,FLB,47.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\48.csv,FLB,48.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\49.csv,FLB,49.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\50.csv,FLB,50.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\51.csv,FLB,51.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\52.csv,FLB,52.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\53.csv,FLB,53.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\54.csv,FLB,54.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\55.csv,FLB,55.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\56.csv,FLB,56.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\57.csv,FLB,57.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\58.csv,FLB,58.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\59.csv,FLB,59.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\60.csv,FLB,60.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\61.csv,FLB,61.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\62.csv,FLB,62.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\63.csv,FLB,63.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\64.csv,FLB,64.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\65.csv,FLB,65.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\66.csv,FLB,66.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\67.csv,FLB,67.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\68.csv,FLB,68.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\69.csv,FLB,69.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\70.csv,FLB,70.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\71.csv,FLB,71.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\72.csv,FLB,72.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\73.csv,FLB,73.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\74.csv,FLB,74.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\75.csv,FLB,75.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\76.csv,FLB,76.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\77.csv,FLB,77.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\78.csv,FLB,78.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\79.csv,FLB,79.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\80.csv,FLB,80.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\81.csv,FLB,81.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\82.csv,FLB,82.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\83.csv,FLB,83.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\84.csv,FLB,84.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\85.csv,FLB,85.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\86.csv,FLB,86.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\87.csv,FLB,87.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\88.csv,FLB,88.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\89.csv,FLB,89.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\90.csv,FLB,90.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\91.csv,FLB,91.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\92.csv,FLB,92.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\93.csv,FLB,93.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\94.csv,FLB,94.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\95.csv,FLB,95.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\96.csv,FLB,96.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\97.csv,FLB,97.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\98.csv,FLB,98.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\99.csv,FLB,99.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\FLB\100.csv,FLB,100.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LACP\1.csv,LACP,1.0,False
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\1.csv,LLB,1.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\2.csv,LLB,2.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\3.csv,LLB,3.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\4.csv,LLB,4.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\5.csv,LLB,5.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\6.csv,LLB,6.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\7.csv,LLB,7.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\8.csv,LLB,8.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\9.csv,LLB,9.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\10.csv,LLB,10.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\11.csv,LLB,11.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\12.csv,LLB,12.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\13.csv,LLB,13.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\14.csv,LLB,14.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\15.csv,LLB,15.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\16.csv,LLB,16.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\17.csv,LLB,17.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\18.csv,LLB,18.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\19.csv,LLB,19.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\20.csv,LLB,20.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\21.csv,LLB,21.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\22.csv,LLB,22.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\23.csv,LLB,23.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\24.csv,LLB,24.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\25.csv,LLB,25.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\26.csv,LLB,26.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\27.csv,LLB,27.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\28.csv,LLB,28.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\29.csv,LLB,29.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\30.csv,LLB,30.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\31.csv,LLB,31.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\32.csv,LLB,32.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\33.csv,LLB,33.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\34.csv,LLB,34.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\35.csv,LLB,35.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\36.csv,LLB,36.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\37.csv,LLB,37.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\38.csv,LLB,38.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\39.csv,LLB,39.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\40.csv,LLB,40.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\41.csv,LLB,41.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\42.csv,LLB,42.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\43.csv,LLB,43.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\44.csv,LLB,44.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\45.csv,LLB,45.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\46.csv,LLB,46.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\47.csv,LLB,47.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\48.csv,LLB,48.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\49.csv,LLB,49.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\50.csv,LLB,50.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\51.csv,LLB,51.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\52.csv,LLB,52.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\53.csv,LLB,53.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\54.csv,LLB,54.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\55.csv,LLB,55.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\56.csv,LLB,56.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\57.csv,LLB,57.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\58.csv,LLB,58.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\59.csv,LLB,59.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\60.csv,LLB,60.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\61.csv,LLB,61.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\62.csv,LLB,62.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\63.csv,LLB,63.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\64.csv,LLB,64.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\65.csv,LLB,65.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\66.csv,LLB,66.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\67.csv,LLB,67.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\68.csv,LLB,68.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\69.csv,LLB,69.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\70.csv,LLB,70.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\71.csv,LLB,71.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\72.csv,LLB,72.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\73.csv,LLB,73.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\74.csv,LLB,74.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\75.csv,LLB,75.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\76.csv,LLB,76.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\77.csv,LLB,77.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\78.csv,LLB,78.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\79.csv,LLB,79.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\80.csv,LLB,80.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\81.csv,LLB,81.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\82.csv,LLB,82.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\83.csv,LLB,83.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\84.csv,LLB,84.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\85.csv,LLB,85.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\86.csv,LLB,86.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\87.csv,LLB,87.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\88.csv,LLB,88.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\89.csv,LLB,89.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\90.csv,LLB,90.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\91.csv,LLB,91.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\92.csv,LLB,92.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\93.csv,LLB,93.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\94.csv,LLB,94.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\95.csv,LLB,95.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\96.csv,LLB,96.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\97.csv,LLB,97.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\98.csv,LLB,98.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\99.csv,LLB,99.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\100.csv,LLB,100.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LLB\101.csv,LLB,101.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\1.csv,LOCA,1.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\2.csv,LOCA,2.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\3.csv,LOCA,3.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\4.csv,LOCA,4.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\5.csv,LOCA,5.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\6.csv,LOCA,6.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\7.csv,LOCA,7.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\8.csv,LOCA,8.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\9.csv,LOCA,9.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\10.csv,LOCA,10.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\11.csv,LOCA,11.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\12.csv,LOCA,12.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\13.csv,LOCA,13.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\14.csv,LOCA,14.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\15.csv,LOCA,15.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\16.csv,LOCA,16.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\17.csv,LOCA,17.0,True
D:\竞赛材料汇总\核+X\NuclearPowerPlantAccidentData-main\Operation_csv_data\LOCA\18.csv,LOCA,18.0,True
